cu_media_ppm,Ii,E_Ii,Var_Ii,Z_Ii,p_value,Tipo_cluster,Cluster_LISA
100.0,0.11535211468034902,-0.0015337423312883436,0.24665285205918713,0.39130849669643636,0.308,HH,No significativo
72.0,0.007392378296814733,-0.0015337423312883436,0.24665285205918713,0.5096687498404228,0.333,LL,No significativo
70.0,0.0458831400223117,-0.0015337423312883436,0.1970205064011981,1.3995022362462208,0.052,LL,No significativo
45.0,0.2687455782552604,-0.0015337423312883432,0.14029782564921053,1.1814894350349043,0.097,LL,No significativo
75.0,-0.01844342663602504,-0.0015337423312883436,0.24665285205918713,-1.0764787508850928,0.133,HL,No significativo
55.0,0.3907068095862905,-0.0015337423312883436,0.32937342815583553,1.749944949572168,0.011,LL,LL
20.0,0.9017356622933901,-0.0015337423312883436,0.24665285205918713,1.5879514487316133,0.022,LL,LL
50.0,-0.08807152619761399,-0.0015337423312883434,0.1639322759625387,-0.44462660573036156,0.303,LH,No significativo
150.0,2.3908506648678864,-0.0015337423312883436,0.1970205064011981,3.290268015623721,0.005,HH,HH
100.0,1.1855706031615014,-0.0015337423312883436,0.1970205064011981,4.656125979801968,0.001,HH,HH
96.66666666666667,0.419432185056141,-0.0015337423312883436,0.1970205064011981,1.8923155528779587,0.057,HH,No significativo
70.0,-0.050835953068489155,-0.0015337423312883434,0.1639322759625387,-1.7490391825857259,0.057,LH,No significativo
106.66666666666667,0.23254376983363068,-0.0015337423312883436,0.24665285205918713,0.6383575597271185,0.241,HH,No significativo
90.0,-0.043221520725652864,-0.0015337423312883436,0.4948145803491324,-0.21358657360627015,0.487,HL,No significativo
20.0,0.44038783795314973,-0.0015337423312883436,0.24665285205918713,0.7829420402449889,0.238,LL,No significativo
36.0,0.2762170305179854,-0.0015337423312883432,0.14029782564921053,0.9210186000639679,0.177,LL,No significativo
50.0,0.1796217033179289,-0.0015337423312883436,0.24665285205918713,0.7267740323155024,0.262,LL,No significativo
37.5,0.40212383609447255,-0.0015337423312883436,0.24665285205918713,1.0542764398455182,0.143,LL,No significativo
90.0,0.012189483978202187,-0.0015337423312883436,0.4948145803491324,0.0052154672347741226,0.432,HH,No significativo
100.0,-0.04603804380879745,-0.0015337423312883436,0.24665285205918713,-0.17135135211861177,0.489,HL,No significativo
75.0,-0.002974112493511091,-0.0015337423312883436,0.1970205064011981,-0.1802785361210006,0.48,HL,No significativo
70.0,0.004789078349862063,-0.0015337423312883434,0.1639322759625387,0.16078288403311838,0.476,LL,No significativo
100.0,0.08811752543530556,-0.0015337423312883436,0.1970205064011981,0.3580990936325974,0.319,HH,No significativo
100.0,0.8332020904601983,-0.0015337423312883436,0.32937342815583553,2.502332857166074,0.023,HH,HH
63.333333333333336,-0.18265673854594167,-0.0015337423312883436,0.32937342815583553,-1.4403463245584682,0.086,LH,No significativo
70.0,0.06548454532442452,-0.0015337423312883436,0.24665285205918713,1.8016490017292306,0.006,LL,LL
70.0,0.0599006479397362,-0.0015337423312883436,0.32937342815583553,1.4535736890243027,0.038,LL,LL
70.0,0.01773259527605533,-0.0015337423312883436,0.24665285205918713,0.4959869788638569,0.337,LL,No significativo
50.0,0.27668265905286915,-0.0015337423312883436,0.24665285205918713,1.1080238258097592,0.119,LL,No significativo
50.0,-0.22989575375551752,-0.0015337423312883436,0.4948145803491324,-0.6034440401167425,0.236,LH,No significativo
63.333333333333336,-0.006106299912512482,-0.0015337423312883434,0.1639322759625387,-0.07435276295616994,0.437,LH,No significativo
63.333333333333336,-0.0030216570998009757,-0.0015337423312883432,0.14029782564921053,-0.03291800477618332,0.449,LH,No significativo
70.0,-0.00376861879142274,-0.0015337423312883436,0.24665285205918713,-0.09264923111047656,0.408,LH,No significativo
250.0,6.154147475611078,-0.0015337423312883436,0.32937342815583553,2.8269458048413534,0.015,HH,HH
150.0,2.762534300496844,-0.0015337423312883436,0.1970205064011981,3.813720489305805,0.002,HH,HH
100.0,0.3927414495835695,-0.0015337423312883436,0.24665285205918713,1.3631196496944504,0.105,HH,No significativo
50.0,0.31524112092017414,-0.0015337423312883436,0.4948145803491324,0.933533860433838,0.155,LL,No significativo
17.5,0.2555439904363107,-0.0015337423312883436,0.32937342815583553,0.3965073426462014,0.389,LL,No significativo
100.0,-0.08134214097829826,-0.0015337423312883436,0.32937342815583553,-0.2682982082983317,0.441,HL,No significativo
60.0,0.008443615508964926,-0.0015337423312883436,0.1970205064011981,0.05088394676181143,0.475,LL,No significativo
22.0,0.6634509985280985,-0.0015337423312883436,0.32937342815583553,1.072264843644124,0.131,LL,No significativo
70.0,0.012063120919954144,-0.0015337423312883436,0.32937342815583553,0.3115186269948236,0.429,LL,No significativo
70.0,0.010351581491697187,-0.0015337423312883436,0.24665285205918713,0.29061983320892193,0.434,LL,No significativo
200.0,6.331427760058456,-0.0015337423312883436,0.32937342815583553,4.054293173453521,0.002,HH,HH
150.0,0.9970370312592967,-0.0015337423312883436,0.1970205064011981,1.3870878464758336,0.094,HH,No significativo
60.0,-0.16203722022287154,-0.0015337423312883436,0.1970205064011981,-1.2739209945557153,0.105,LH,No significativo
70.0,0.0021361922360637765,-0.0015337423312883436,0.1970205064011981,0.05646923774522608,0.478,LL,No significativo
